bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,"Cambrex Corp | Pharmaceuticals, Biotechnology & Life Sciences 2",Cambrex Corp,Cambrex Corp,,"Pharmaceuticals, Biotechnology & Life Sciences",,,1714069.5425836195,1714069.5425836195,1714069.5425836195,,100.0,4.5,,,,False,,,USD,1900000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,"Cambrex Corp | Pharmaceuticals, Biotechnology & Life Sciences 3",Cambrex Corp,Cambrex Corp,,"Pharmaceuticals, Biotechnology & Life Sciences",,,8570347.712918097,8480133.526466329,8480133.526466329,,101.06,4.5,,,,False,,,USD,9500000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,"Cambrex Corp | Pharmaceuticals, Biotechnology & Life Sciences 4",Cambrex Corp,Cambrex Corp,,"Pharmaceuticals, Biotechnology & Life Sciences",,,5773707.932913245,5773707.932913245,5773707.932913245,,100.0,4.5,,,,False,,,USD,6400000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Carrier Fire Protection | Commercial & Professional Services 1,Carrier Fire Protection,Carrier Fire Protection,,Commercial & Professional Services,,,1082570.2374212334,1082570.2374212334,1082570.2374212334,,100.0,4.5,,,,False,,,USD,1200000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Carrier Fire Protection | Commercial & Professional Services 2,Carrier Fire Protection,Carrier Fire Protection,,Commercial & Professional Services,,,8750776.085821636,8660561.899369868,8660561.899369868,,101.04,4.5,,,0.0,False,,,USD,9700000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Carrier Fire Protection | Commercial & Professional Services 3,Carrier Fire Protection,Carrier Fire Protection,,Commercial & Professional Services,,,451070.9322588473,451070.9322588473,451070.9322588473,,100.0,4.5,,,0.0,False,,,USD,500000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Carrier Fire Protection | Commercial & Professional Services 4,Carrier Fire Protection,Carrier Fire Protection,,Commercial & Professional Services,,,2525997.2206495446,2255354.6612942363,2165140.474842467,,116.67,4.5,,,0.0,False,,,USD,2800000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Carrier Fire Protection | Commercial & Professional Services 5,Carrier Fire Protection,Carrier Fire Protection,,Commercial & Professional Services,,,1262998.6103247723,1262998.6103247723,1262998.6103247723,,100.0,4.5,,,,False,,,USD,1400000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Carrier Fire Protection | Commercial & Professional Services 6,Carrier Fire Protection,Carrier Fire Protection,,Commercial & Professional Services,,,1894497.9154871586,1894497.9154871586,1894497.9154871586,,100.0,4.5,,,0.0,False,,,USD,2100000.0
FSK,0001422183,0001628280-26-033118,10-Q,2026-03-31,2026-05-11,Circana Group (f.k.a. NPD Group) | Consumer Services 1,Circana Group (f.k.a. NPD Group),Circana Group (f.k.a. NPD Group),,Consumer Services,,,15787482.629059654,15607054.256156115,15607054.256156115,,101.16,4.3,,,,False,,,USD,17500000.0
